Setting,Value
Resource Address,TCPIP0::169.254.250.89::inst0::INSTR
Timeout (ms),20000
Frequency Mode,Center/Span
Start Freq (Hz),1000000000.0
Stop Freq (Hz),4000000000.0
Center Freq (Hz),2500000000.0
Span (Hz),3000000000.0
IF Bandwidth (Hz),100000.0
Plot Type,VSWR

Frequency (Hz),VSWR
1000000000.0,25.098887028254588
1015000000.0,21.730527959654648
1030000000.0,21.779175614415262
1045000000.0,23.569271294912877
1060000000.0,25.693757265159046
1075000000.0,25.932088566016677
1090000000.0,24.198923090788295
1105000000.0,22.548361739524935
1120000000.0,22.881713738672055
1135000000.0,22.347383286383643
1150000000.0,21.790867887546906
1165000000.0,22.280884991380177
1180000000.0,22.581318811945664
1195000000.0,23.553761826730142
1210000000.0,24.035750378161108
1225000000.0,21.999554120652487
1240000000.0,20.948574018642518
1255000000.0,19.96330363896986
1270000000.0,20.924768117850654
1285000000.0,22.55235439521904
1300000000.0,23.76106854622493
1315000000.0,22.062145516718868
1330000000.0,20.434532551368928
1345000000.0,20.148261388168134
1360000000.0,20.526972510523684
1375000000.0,21.01155222964631
1390000000.0,20.807280365806964
1405000000.0,20.3533449771901
1420000000.0,21.204736012078506
1435000000.0,21.570735234454965
1450000000.0,21.137200659778742
1465000000.0,18.979812025172087
1480000000.0,19.346488326310773
1495000000.0,18.837274276383113
1510000000.0,18.220141921798906
1525000000.0,21.791765479063212
1540000000.0,19.789162256175697
1555000000.0,18.288657666054647
1570000000.0,18.004447355774133
1585000000.0,19.92440676299883
1600000000.0,19.95265185140812
1615000000.0,18.52902187081107
1630000000.0,17.83573762972826
1645000000.0,18.847693985193636
1660000000.0,21.013436919407436
1675000000.0,21.135473592410076
1690000000.0,18.120562094467065
1705000000.0,16.306916011523736
1720000000.0,16.697750671272377
1735000000.0,20.158927801339146
1750000000.0,21.225620863203133
1765000000.0,19.25344676574709
1780000000.0,16.9296728186722
1795000000.0,16.600371101439993
1810000000.0,17.506642694247272
1825000000.0,19.272434314409814
1840000000.0,18.695053805331995
1855000000.0,17.313002547493817
1870000000.0,17.433974196357866
1885000000.0,18.09048148363677
